ID_REF	GSM136326	GSM136327	GSM136328	GSM136329	GSM136330	GSM136331	GSM136332	GSM136333	GSM136334	GSM136335	GSM136336	GSM136337	GSM136338	GSM136339	GSM136340	GSM136341	GSM136342	GSM136343	GSM136344	GSM136345	GSM136346	GSM136347	GSM136348	GSM136349	GSM136350	GSM136351	GSM136352	GSM136353	GSM136354	GSM136355	GSM136356	GSM136357	GSM136358	GSM136359	GSM136360	GSM136361	GSM136362	GSM136363	GSM136364	GSM136365	GSM136366	GSM136367	GSM136368	GSM136369	GSM136370	GSM136371	GSM136372	GSM136373	GSM136374	GSM136375	GSM136376	GSM136377	GSM136378	GSM136379	GSM136380	GSM136381	GSM136382	GSM136383	GSM136384	GSM136385	GSM136386	GSM136387	GSM136388	GSM136389	GSM136390	GSM136391	GSM136392	GSM136393	GSM136394	GSM136395	GSM136396	GSM136397	GSM136398	GSM136399	GSM136400	GSM136401	GSM136402	GSM136403	GSM136404	GSM136405	GSM136406	GSM136407	GSM136408	GSM136409	GSM136410	GSM136411	GSM136412	GSM136413	GSM136414	GSM136415	GSM136416	GSM136417	GSM136418	GSM136419	GSM136420
205207_at	6.141890459	8.38277471	8.3096254	7.364460839	8.867679457	7.446949002	6.792074149	7.892825282	6.719153667	10.70278867	7.413786599	9.698171609	8.53934231	7.449660297	6.455049197	8.89187655	7.245840859	6.908103658	5.897466998	6.28721037	7.054135168	6.354707894	7.729626294	11.10941398	7.561725493	6.350352844	7.297099291	5.993425029	6.703843353	6.563829888	7.371899139	7.472728895	8.437920473	7.592250311	7.006882526	8.354624759	8.530472044	7.284640344	7.082785635	7.475953916	7.337553833	6.79568889	6.584438861	6.189876986	7.92178115	7.547710459	6.989768308	5.830063164	6.065461705	6.588034343	7.001109199	6.187132593	9.454400646	6.711464591	5.781399137	5.899991746	6.05832514	6.724837056	6.740123833	7.096202802	7.835063721	5.999607203	5.436452861	8.155516733	6.243596969	6.197335613	6.02259536	5.627756842	6.156260004	6.152958017	5.667219654	8.00457029	6.530356535	6.165640265	6.571162869	6.028798437	6.154012652	6.51743887	6.440697116	6.111860896	6.147318489	6.025729753	6.315674767	6.838225868	6.282495718	6.515034932	6.581230011	7.410229802	6.094247963	6.44673271	6.174343642	5.622952659	6.741822982	5.812797143	6.054435882
210228_at	5.474748936	5.523924642	5.901149312	6.085798745	5.683822762	5.316224716	5.44361578	5.704823456	6.107316511	5.737062715	5.611989408	5.623992479	5.624872885	5.82684398	5.706592586	5.665341825	5.453596032	5.705343339	5.759986907	5.359547524	5.446134212	5.782434221	5.747694441	5.504634633	5.582835065	5.416854359	5.489880227	5.498140042	5.746240947	5.55694234	5.584699309	5.613596853	5.470724915	5.311757085	5.479813097	5.481983271	5.769777291	5.541700249	5.643037393	5.569499592	5.612480377	5.668457377	5.502606007	5.703983139	5.550670477	5.549117212	5.601038069	5.863992777	5.918310194	5.64726865	5.729397154	6.236100333	5.975358098	5.783366507	5.70749081	5.725375921	5.755338129	5.648089515	5.729729835	5.642241835	6.016098017	5.774345568	6.102670101	5.876623554	5.770775722	5.654640463	5.796740187	5.545918829	5.714522537	6.145846212	5.80946841	5.891358411	5.723045458	5.729925648	6.017296927	5.80946841	5.760731026	5.726688464	6.174087929	5.852436342	5.737034978	5.723668526	5.992150157	6.032725629	5.767025716	5.732033853	6.071063895	5.693054754	5.937423527	5.943706112	5.71733675	5.979127369	5.719938684	5.921259658	5.862279484
1405_i_at	6.98704598	6.910617467	6.708504641	7.777802579	7.746068144	7.576616437	6.435705274	8.351782412	6.421903571	8.708841611	6.973093503	5.0202295	6.425926439	6.107421125	9.274023871	6.671995225	5.429419243	8.156692459	6.317640358	6.808378367	8.186226673	7.720080525	7.116509469	5.967329659	7.687586852	8.336160471	6.883750473	5.417738985	6.818380746	5.373002321	6.621001049	7.128544949	7.516751965	5.415734283	7.010003221	5.822717454	5.723222384	7.174564026	5.809419257	6.004143609	7.244167489	6.178430776	6.138383105	7.761149155	6.671380772	6.652038126	7.60331354	6.619845345	6.66536155	9.133534934	7.721566357	7.41638012	7.544554526	7.261023333	6.338727286	6.172135621	6.60471179	9.293575956	7.750378511	6.366344523	6.447317466	9.005144311	6.338182803	7.195025198	4.900544312	7.852440248	6.025382804	7.368891129	6.42066813	7.19168209	7.964422293	6.509924306	6.682772644	8.46730612	8.129263061	5.378654477	7.020634226	6.043201306	7.110859141	7.68492305	5.676699583	5.735866869	6.431375789	6.438456774	5.385601057	8.220874251	6.399779521	7.459612643	7.22569251	7.981696883	6.326486419	7.289534316	7.484094484	5.465128485	7.538788053
210512_s_at	7.307966666	7.86223872	8.655307287	8.149298563	9.527369487	8.687289183	7.80649826	8.234337512	7.806523939	9.827897309	7.751180412	8.790952227	8.862103937	7.739450276	8.471216648	8.842657532	7.775196897	7.466490227	7.72328408	7.919352452	8.178022945	8.659118514	8.520070479	9.542913686	7.561477814	8.471392056	9.305562152	8.824964921	8.030192761	7.905535507	8.184511214	7.174345951	8.309819368	9.067030964	9.524260523	8.173098281	8.872216415	8.854066081	7.358701749	7.720354421	7.990047739	8.592179334	9.210473549	8.303137901	8.090814699	9.821057863	8.438279834	9.476786004	8.315029948	7.777967905	8.14384593	8.49660042	10.00748766	8.762396971	7.88095459	8.578822773	8.440424509	9.698019442	8.133747271	8.417596079	7.31916682	9.32068761	8.790308824	8.543173412	7.997945034	8.183078162	8.538960623	8.758000505	9.458303533	8.373949251	8.741359671	8.650348264	8.441818717	8.677003839	9.403941788	9.260243357	8.518627758	8.193051923	6.991085986	7.417889012	8.630383092	8.960737188	9.931729457	8.198914518	8.847443763	8.991204896	7.053620492	8.371614908	8.434946586	8.765656917	9.771476142	9.538068459	9.461916017	9.38577831	10.08284191
209946_at	6.422751345	8.105566258	5.714847838	6.986390912	7.419758074	6.110802236	7.284240869	8.064467988	7.033080631	7.119945508	7.102961204	7.986107905	6.586695432	6.498354512	6.614994276	7.760704017	7.018247418	7.324473681	7.728787657	6.517589403	7.298157586	6.917687903	5.962207289	8.125832851	6.680033402	7.779804092	6.917847646	7.933514249	6.09064554	5.794358348	7.074512795	8.413738363	7.535711464	7.432854553	6.956162098	7.897932905	7.146094558	7.104554255	6.9995438	6.070740342	7.471330165	7.329691235	6.514534982	6.91610614	6.961854732	7.468253117	7.139520702	6.495370542	6.324373854	8.007354642	6.0772192	6.399350392	7.665669067	5.961730802	6.657246775	5.895411261	6.736380801	5.963604501	7.297940945	6.103910949	6.276052153	5.718674141	6.416515366	7.50461202	5.663183279	6.634772991	6.404718552	6.552219831	5.61611205	6.447852613	5.469465688	6.249962851	6.704296294	7.408051561	6.07199426	8.217657796	5.492349735	6.387562887	6.705631588	6.68862909	7.935293154	5.950126534	6.332721474	6.933552307	6.505455153	6.102738653	7.308828101	6.1775275	6.537161171	7.49272608	6.434423521	6.750696945	7.372567995	6.649855632	6.433197946
204863_s_at	6.101590041	9.276395499	8.140716405	8.918390492	7.438339743	7.291752022	7.221170314	7.314415105	7.922911386	7.432102671	7.800144019	9.463953223	7.618847004	7.173743721	7.188734631	8.825384875	8.499984683	7.707931013	8.74114927	8.733382314	7.344264984	8.110229809	9.720295631	9.039247244	8.073582148	8.289865588	7.617161847	6.315474211	10.68371452	8.90411494	8.02595723	9.018737222	8.254463637	8.084520079	7.027789039	8.383789991	8.51558345	8.50979494	8.234889758	7.856523136	7.938447627	8.441015359	5.93439664	7.581136198	7.951964931	7.48405303	7.489209453	7.100583245	6.216588515	9.069929643	7.954676795	7.922869336	7.472308652	6.61268175	6.776994483	9.019396385	7.729366888	5.957678228	8.268970951	6.319786498	7.904766561	6.725867666	9.34588008	7.827914404	8.302198098	6.013259046	9.152337421	8.961399116	5.515252148	7.702860678	9.0492743	8.845596061	8.125668013	8.097481508	6.178448391	5.924483037	10.60653619	9.291367799	7.70745463	8.23027658	6.927826684	8.070867364	6.409048234	8.085935105	8.480093877	8.749167335	8.633520341	7.860074045	7.62556731	7.880572882	6.167929191	6.996261601	7.548960728	6.303347731	6.229109844
207085_x_at	3.974044537	4.352740645	4.010819023	4.362050949	4.365704967	4.119131257	4.43675909	4.181527044	4.129231317	4.27306079	4.250552099	4.106910447	4.149440582	4.051368021	4.182142166	4.081577063	4.069662779	4.560387233	4.246347662	4.151356474	4.145737956	4.132348539	4.137980963	4.179676876	4.225506646	4.095579131	4.141224146	4.120933358	4.322734468	4.247895074	4.084662054	3.99872727	4.155650536	4.169646505	4.288050118	3.850962732	4.32602062	4.24988387	4.271620141	4.410666139	4.114101756	4.089983074	4.087582584	4.168558247	3.974769382	4.105936159	4.504945292	4.557981593	4.42517206	4.594742617	4.475609623	4.592309214	4.731858454	4.257365713	4.438479865	4.365228643	4.413571145	4.229131886	4.343022297	4.602988749	4.439071798	4.442058941	4.648077694	4.418880155	4.098971341	4.975707691	4.353118041	4.288407844	4.424802146	4.563866379	4.433108166	4.265571575	4.134649233	4.709706636	4.298714825	4.210631059	4.354573543	4.422568983	4.420242125	4.41993389	4.361326695	4.396832135	4.48802072	4.29869408	4.326856559	4.546883177	4.218779788	4.413670561	4.463934132	4.849249472	4.20806586	4.474713147	4.542781889	4.387356038	5.281899033
205159_at	7.741019334	7.107800228	8.067008503	7.030406114	8.961275467	7.164895791	8.227543748	7.962640758	6.891436502	8.049818862	6.944098093	8.536700627	6.906868317	6.636143542	8.975595657	7.677900748	6.836596583	9.772193296	6.794041622	7.031749549	7.927577671	7.334746073	7.255126159	8.128169257	7.968331188	8.29066707	8.265873037	6.829417622	7.393236522	5.967161201	8.085701251	9.272534686	8.519445847	6.722137329	7.566925029	7.062788628	6.597799969	6.877947032	8.354619055	8.345976841	7.635238025	8.048190164	7.137736066	8.583807907	7.16065418	7.262193742	8.771136077	6.820165103	7.998789599	7.987467204	8.112119972	8.385995677	9.091008952	7.740911415	7.842142315	6.633355949	6.618396036	7.984204354	8.267513887	6.856524406	8.591389812	9.044434022	6.52923274	8.07184532	6.558440593	10.54033337	8.114089792	7.825912218	7.046662208	8.529032346	7.161101357	6.688958143	7.663318601	8.428532771	7.954687182	7.205588801	8.038294948	7.172027069	9.019574047	9.204417198	7.230338541	6.649130378	6.961840922	7.171269244	6.460139837	8.0779068	8.87819624	8.293190507	7.298948805	7.905620299	7.621847291	7.933293553	7.629330496	6.329457863	8.994228812
206991_s_at	8.155058822	8.702183947	10.39148868	9.064344572	10.08662395	8.93974231	8.661420692	8.90362813	8.588617704	8.315448169	9.315729801	7.879504401	8.616362803	10.00233992	10.20656039	8.392808613	8.482121819	9.979943452	8.701942592	9.245206943	8.928016461	9.53563561	8.900387976	8.20221967	9.144109312	9.387468615	7.944068247	8.095320443	9.072823601	7.588329492	9.478017457	8.96278274	8.802675281	8.217611923	8.5997833	7.985440749	8.028614739	9.024797118	8.478626926	8.372117412	8.776217736	7.937554989	8.17131799	9.714731748	7.963183309	8.294711857	9.164708167	8.526977696	8.475785019	9.321449934	10.42889706	9.563686522	10.15607342	9.082319125	8.687925408	8.505144079	8.447848541	8.90217594	9.171881224	8.796186585	10.33181902	10.13645149	8.642051541	9.399373357	8.108098848	9.751581623	8.458660489	9.219317038	8.552826269	10.38808532	9.105110606	8.523360923	8.719019686	9.887306914	9.141432151	8.317079072	9.447414957	8.185396667	10.02409126	10.57966012	8.290882554	8.471231041	8.67246673	8.396805616	8.262274126	9.573706273	9.154162646	8.835768121	9.333561258	9.613721149	8.611699901	9.467657661	8.382685902	8.122174415	8.894970568
203934_at	5.973674543	6.890663779	5.279004206	6.021784537	5.287418891	5.836867924	6.619691173	6.357384197	6.050983968	7.646278349	6.400496042	7.019970615	5.896267289	5.858781066	5.345025885	7.112314716	6.511939016	6.819746495	6.78372664	6.192649233	7.514462493	6.160349194	5.539476597	6.848640945	5.803746616	7.347236172	6.582203465	7.239612225	5.365788523	5.82392354	6.992360325	7.270544816	7.452329109	7.383338273	5.743199475	7.411011874	6.923233904	6.288295018	6.868293866	5.741559129	6.340435109	6.027738402	5.71776435	6.657762079	6.917016438	6.012276512	7.640028973	5.771489459	5.388100746	6.929100386	5.098486761	5.396159833	5.696542023	5.945033276	5.587387879	5.455694848	5.866476514	6.071645072	6.001140938	5.246106203	5.782047428	5.834712155	5.49682237	7.289984202	5.214885864	6.250102998	6.263602166	6.091394491	5.661693822	5.788259132	4.983631719	5.2571005	5.527724883	6.411967071	5.367500251	6.982943651	5.410012295	5.225654237	6.290114932	6.744561067	6.225955826	6.173193718	5.223852748	5.918245599	5.40325164	5.718602558	7.11642104	5.79875509	5.633732403	5.958949161	5.3954567	6.020059305	6.097057918	5.6268382	6.472822944
